1977,3.516194331983806
1980,3.5119999999999996
1976,3.4816753926701574
1973,3.47887323943662
1979,3.4457831325301207
1983,3.4285714285714284
1981,3.4174757281553396
1974,3.4123711340206184
1978,3.4
1975,3.391304347826087
1972,3.384915474642393
1982,3.3454545454545452
1991,3.3333333333333335
1967,3.3125
1986,3.3090909090909095
1970,3.2857142857142856
1968,3.280701754385965
1971,3.2675438596491224
1985,3.2608695652173916
1992,3.2280701754385968
1969,3.2204301075268815
1989,3.212765957446808
1990,3.2075471698113205
1966,3.2
1988,3.1680672268907566
1965,3.166666666666667
1984,3.1578947368421053
1987,3.130434782608696
1993,3.0357142857142856
,3.0
1995,3.0
