Huey Smith/Johnny Vincent,3
James Brown/Betty Newsome,3
"James Stevens / Ivar Haglund
James Stevens / Ivar Haglund
James Stevens/Ivar Haglund",3
Bill Kreutzmann/Jerry Garcia/Keith Godchaux/Phil Lesh/Robert Hunter,3
Bill Kreutzmann/Bob Weir/Donna Jean Godchaux/Jerry Garcia/Keith Godchaux/Mickey Hart/Phil Lesh/Robert Hunter,3
Bill Kreutzmann/Jerry Garcia/Mickey Hart/Phil Lesh/Robert Hunter,3
Bill Kreutzmann/Mickey Hart/Brent Mydland,3
John Perry Barlow/Bob Weir,3
Elias McDaniel,3
Bob Marley,3
Bob Dylan/Jacques Levy,3
Bob Weir / Willie Dixon,3
George Harrison,3
Chester Arthur Burnett/Willie Dixon,3
,2.9375
Donna Jean Godchaux,2.909090909
